time,x,y,z,ref_x,ref_y,ref_z
0.82,0.109508,0.0175147,0.761882,1.83424,0.797218,2
0.83,0.111488,0.0180358,0.769618,1.83023,0.806379,2
0.839999,0.113491,0.0185703,0.777418,1.82618,0.81552,2
0.849999,0.115519,0.0191203,0.785393,1.82208,0.824641,2
0.859999,0.11757,0.0196834,0.793376,1.81793,0.833741,2
0.869999,0.119642,0.0202555,0.801226,1.81374,0.84282,2
0.879999,0.121737,0.0208357,0.809123,1.8095,0.851878,2
0.889999,0.123851,0.0214204,0.816925,1.80522,0.860915,2
0.899999,0.12598,0.0220075,0.824634,1.80089,0.869931,2
0.909999,0.128126,0.022597,0.832306,1.79652,0.878924,2
0.919999,0.130291,0.0231893,0.839832,1.79211,0.887896,2
0.929999,0.132481,0.0237864,0.84724,1.78764,0.896845,2
0.939999,0.134699,0.0243919,0.854541,1.78314,0.905772,2
0.949999,0.136957,0.0250125,0.861947,1.77859,0.914676,2
0.959999,0.139262,0.025651,0.869538,1.77399,0.923558,2
0.969999,0.141598,0.0263002,0.876919,1.76935,0.932416,2
0.979999,0.143968,0.0269552,0.884182,1.76467,0.941251,2
0.989999,0.146378,0.0276129,0.891536,1.75994,0.950063,2
0.999999,0.148825,0.0282676,0.898931,1.75517,0.958851,2
1.01,0.151304,0.0289151,0.906312,1.75035,0.967614,2
1.02,0.153808,0.0295528,0.913509,1.74549,0.976354,2
1.03,0.156337,0.0301771,0.920537,1.74059,0.985069,2
1.04,0.158893,0.0307851,0.927445,1.73564,0.99376,2
1.05,0.161481,0.0313755,0.93429,1.73065,1.00243,2
1.06,0.164102,0.0319474,0.941168,1.72561,1.01107,2
1.07,0.166762,0.0325001,0.948131,1.72054,1.01968,2
1.08,0.169454,0.0330376,0.95498,1.71542,1.02827,2
1.09,0.172177,0.0335653,0.961554,1.71025,1.03684,2
1.1,0.174939,0.034084,0.968022,1.70505,1.04537,2
1.11,0.177754,0.0345959,0.974543,1.6998,1.05389,2
1.12,0.180627,0.0351043,0.981169,1.69451,1.06237,2
1.13,0.183562,0.0356124,0.987894,1.68918,1.07083,2
1.14,0.186555,0.0361234,0.994622,1.6838,1.07926,2
1.15,0.189615,0.0366412,1.00139,1.67839,1.08767,2
1.16,0.19274,0.0371679,1.00818,1.67293,1.09605,2
1.17,0.195925,0.0377053,1.01486,1.66742,1.1044,2
1.18,0.199176,0.0382578,1.02155,1.66188,1.11272,2
1.19,0.202495,0.0388317,1.02833,1.6563,1.12102,2
1.2,0.205875,0.0394333,1.0352,1.65067,1.12928,2
1.21,0.209298,0.0400594,1.04193,1.645,1.13752,2
1.22,0.212761,0.0407142,1.04857,1.6393,1.14573,2
1.23,0.216263,0.0414027,1.05525,1.63355,1.15392,2
1.24,0.219791,0.0421208,1.06179,1.62776,1.16207,2
1.25,0.223338,0.0428688,1.06815,1.62193,1.17019,2
1.26,0.226897,0.0436482,1.07432,1.61606,1.17829,2
1.27,0.230473,0.044468,1.08052,1.61014,1.18635,2
1.28,0.234065,0.0453259,1.08669,1.60419,1.19439,2
1.29,0.237672,0.0462147,1.09273,1.5982,1.2024,2
1.3,0.241294,0.047139,1.09885,1.59217,1.21037,2
1.31,0.24493,0.048095,1.10502,1.5861,1.21832,2
1.32,0.248578,0.0490764,1.11103,1.57999,1.22623,2
1.33,0.252236,0.0500898,1.11697,1.57383,1.23412,2
1.34,0.255905,0.0511387,1.12281,1.56764,1.24197,2
1.35,0.25958,0.0522253,1.12849,1.56141,1.24979,2
1.36,0.263262,0.0533666,1.13431,1.55515,1.25759,2
1.37,0.266953,0.0545695,1.14041,1.54884,1.26535,2
1.38,0.270652,0.0558257,1.14668,1.54249,1.27307,2
1.39,0.274359,0.0571222,1.15288,1.53611,1.28077,2
1.4,0.278075,0.0584537,1.15888,1.52969,1.28843,2
1.41,0.281804,0.0598272,1.16484,1.52322,1.29607,2
1.42,0.285544,0.0612388,1.17069,1.51672,1.30367,2
1.43,0.289297,0.0626809,1.1763,1.51019,1.31123,2
1.44,0.293066,0.0641568,1.18177,1.50361,1.31877,2
1.45,0.296855,0.0656713,1.18724,1.497,1.32627,2
1.46,0.300666,0.0672266,1.19275,1.49035,1.33374,2
1.47,0.304501,0.0688267,1.19833,1.48366,1.34117,2
1.48,0.308358,0.0704704,1.20395,1.47694,1.34857,2
1.49,0.312239,0.0721533,1.20953,1.47018,1.35594,2
1.5,0.316144,0.0738748,1.21511,1.46338,1.36328,2
1.51,0.320068,0.0756257,1.22051,1.45654,1.37058,2
1.52,0.324012,0.0774043,1.22572,1.44967,1.37784,2
1.53,0.327983,0.0792224,1.23101,1.44277,1.38507,2
1.54,0.331979,0.0810795,1.23634,1.43582,1.39227,2
1.55,0.335997,0.0829758,1.2416,1.42884,1.39943,2
1.56,0.340038,0.0849172,1.24684,1.42183,1.40656,2
1.57,0.344104,0.0869076,1.25212,1.41478,1.41365,2
1.58,0.348196,0.0889431,1.25738,1.40769,1.42071,2
1.59,0.352317,0.0910225,1.26259,1.40057,1.42773,2
1.6,0.356469,0.0931464,1.26779,1.39341,1.43471,2
1.61,0.360656,0.0953213,1.27313,1.38622,1.44166,2
1.62,0.364872,0.0975454,1.27857,1.379,1.44857,2
1.63,0.369107,0.0998097,1.2839,1.37174,1.45545,2
1.64,0.373357,0.102118,1.28918,1.36444,1.46229,2
1.65,0.377616,0.104466,1.2943,1.35711,1.46909,2
1.66,0.38188,0.10685,1.29925,1.34975,1.47586,2
1.67,0.386145,0.109277,1.30417,1.34236,1.48259,2
1.68,0.390407,0.111744,1.30904,1.33493,1.48929,2
1.69,0.394665,0.114241,1.31369,1.32746,1.49594,2
1.7,0.398917,0.116767,1.31816,1.31997,1.50256,2
1.71,0.403163,0.119322,1.3225,1.31244,1.50914,2
1.72,0.407401,0.121906,1.32673,1.30488,1.51568,2
1.73,0.411629,0.124527,1.331,1.29728,1.52219,2
1.74,0.415846,0.127188,1.33538,1.28965,1.52866,2
1.75,0.420056,0.129888,1.33984,1.28199,1.53509,2
1.76,0.42426,0.132627,1.3444,1.2743,1.54148,2
1.77,0.428459,0.135398,1.34895,1.26658,1.54783,2
1.78,0.432651,0.138194,1.35333,1.25883,1.55414,2
1.79,0.436836,0.141018,1.35767,1.25104,1.56042,2
1.8,0.441015,0.143871,1.36203,1.24322,1.56665,2
1.81,0.445191,0.146752,1.36636,1.23537,1.57285,2
1.82,0.449367,0.149661,1.37075,1.22749,1.57901,2
1.83,0.453542,0.152597,1.37521,1.21958,1.58512,2
1.84,0.457718,0.155555,1.3796,1.21164,1.5912,2
1.85,0.461895,0.15853,1.38377,1.20367,1.59724,2
1.86,0.466068,0.161522,1.38782,1.19567,1.60324,2
1.87,0.470233,0.164533,1.39181,1.18764,1.6092,2
1.88,0.474386,0.167564,1.39568,1.17958,1.61512,2
1.89,0.478524,0.17062,1.39966,1.17149,1.62099,2
1.9,0.482648,0.173702,1.40378,1.16337,1.62683,2
1.91,0.486758,0.176813,1.40792,1.15522,1.63263,2
1.92,0.490858,0.179954,1.41203,1.14704,1.63838,2
1.93,0.494949,0.183127,1.41614,1.13883,1.6441,2
1.94,0.49903,0.186334,1.42025,1.1306,1.64977,2
1.95,0.503105,0.189575,1.42433,1.12234,1.6554,2
1.96,0.507171,0.192855,1.42851,1.11405,1.66099,2
1.97,0.511232,0.196168,1.43274,1.10573,1.66654,2
1.98,0.515287,0.199508,1.43682,1.09738,1.67205,2
1.99,0.519337,0.202872,1.44069,1.08901,1.67752,2
2,0.523377,0.20626,1.44445,1.08061,1.68294,2
2.01,0.527403,0.209676,1.44827,1.07218,1.68832,2
2.02,0.531416,0.213118,1.45219,1.06372,1.69366,2
2.03,0.535419,0.21658,1.45613,1.05524,1.69896,2
2.04,0.539413,0.22006,1.45997,1.04673,1.70422,2
2.05,0.543397,0.22356,1.46377,1.0382,1.70943,2
2.06,0.54737,0.227081,1.4675,1.02964,1.7146,2
2.07,0.551334,0.230621,1.4711,1.02105,1.71972,2
2.08,0.55529,0.234182,1.47467,1.01244,1.72481,2
2.09,0.559238,0.237766,1.47829,1.00381,1.72985,2
2.1,0.563178,0.241368,1.48181,0.995143,1.73485,2
2.11,0.56711,0.244987,1.4853,0.986457,1.7398,2
2.12,0.571031,0.248632,1.48892,0.977746,1.74471,2
2.13,0.574945,0.252301,1.49258,0.96901,1.74958,2
2.14,0.578851,0.255996,1.49629,0.96025,1.7544,2
2.15,0.582746,0.259711,1.49995,0.951466,1.75918,2
2.16,0.586626,0.263447,1.50356,0.942658,1.76391,2
2.17,0.590488,0.267209,1.50731,0.933827,1.76861,2
2.18,0.594333,0.270992,1.51102,0.924972,1.77325,2
2.19,0.59816,0.274794,1.5147,0.916094,1.77786,2
2.2,0.601971,0.278611,1.51835,0.907194,1.78241,2
2.21,0.605768,0.28244,1.52178,0.89827,1.78693,2
2.22,0.60955,0.286283,1.52511,0.889324,1.7914,2
2.23,0.613307,0.290154,1.52867,0.880356,1.79582,2
2.24,0.617038,0.294053,1.53235,0.871366,1.8002,2
2.25,0.620748,0.297976,1.53591,0.862355,1.80453,2
2.26,0.624431,0.301924,1.53941,0.853321,1.80882,2
2.27,0.628083,0.3059,1.54298,0.844266,1.81307,2
2.28,0.631712,0.3099,1.54646,0.835191,1.81727,2
2.29,0.635316,0.313922,1.54984,0.826094,1.82142,2
2.3,0.638891,0.317971,1.55331,0.816976,1.82553,2
2.31,0.64244,0.322044,1.55684,0.807839,1.82959,2
2.32,0.645967,0.326138,1.56028,0.798681,1.83361,2
2.33,0.649474,0.330251,1.56359,0.789503,1.83758,2
2.34,0.652953,0.334387,1.56703,0.780305,1.8415,2
2.35,0.656406,0.33854,1.57047,0.771088,1.84538,2
2.36,0.659833,0.342703,1.57376,0.761851,1.84921,2
2.37,0.663232,0.346876,1.57702,0.752596,1.853,2
2.38,0.6666,0.35106,1.58025,0.743321,1.85674,2
2.39,0.669931,0.355257,1.58354,0.734028,1.86043,2
2.4,0.673223,0.359472,1.58682,0.724717,1.86408,2
2.41,0.676473,0.363706,1.5901,0.715388,1.86768,2
2.42,0.679681,0.367963,1.59335,0.706041,1.87123,2
2.43,0.682853,0.372239,1.59644,0.696676,1.87474,2
2.44,0.685982,0.376536,1.59947,0.687293,1.8782,2
2.45,0.689059,0.38085,1.60259,0.677894,1.88161,2
2.46,0.692087,0.385178,1.60575,0.668477,1.88498,2
2.47,0.695076,0.389513,1.60881,0.659044,1.8883,2
2.48,0.698028,0.39385,1.61177,0.649594,1.89157,2
2.49,0.700944,0.398184,1.61471,0.640128,1.89479,2
2.5,0.703826,0.40251,1.61766,0.630647,1.89797,2
2.51,0.706684,0.406829,1.62043,0.621149,1.9011,2
2.52,0.70952,0.411141,1.62297,0.611636,1.90418,2
2.53,0.712333,0.415446,1.62551,0.602107,1.90721,2
2.54,0.715122,0.419747,1.62818,0.592564,1.9102,2
2.55,0.717894,0.42405,1.63088,0.583005,1.91314,2
2.56,0.720647,0.428361,1.63353,0.573432,1.91603,2
2.57,0.723378,0.432687,1.63626,0.563845,1.91887,2
2.58,0.726082,0.437034,1.63903,0.554244,1.92167,2
2.59,0.728759,0.441406,1.64174,0.544628,1.92442,2
2.6,0.731402,0.44581,1.64448,0.535,1.92712,2
2.61,0.734004,0.450256,1.64735,0.525357,1.92977,2
2.62,0.736565,0.454739,1.65022,0.515702,1.93237,2
2.63,0.739085,0.459256,1.653,0.506034,1.93492,2
2.64,0.741554,0.46381,1.65591,0.496353,1.93743,2
2.65,0.743977,0.468394,1.65888,0.48666,1.93989,2
2.66,0.746367,0.472997,1.66172,0.476954,1.9423,2
2.67,0.748721,0.477619,1.66456,0.467237,1.94466,2
2.68,0.751039,0.48226,1.66743,0.457508,1.94697,2
2.69,0.753329,0.486915,1.67015,0.447767,1.94923,2
2.7,0.755591,0.491585,1.67283,0.438015,1.95145,2
2.71,0.757823,0.496272,1.67555,0.428253,1.95361,2
2.72,0.760032,0.500977,1.67812,0.418479,1.95573,2
2.73,0.762217,0.505701,1.68056,0.408696,1.9578,2
2.74,0.764367,0.510454,1.68304,0.398902,1.95982,2
2.75,0.76647,0.515241,1.68558,0.389098,1.96179,2
2.76,0.768512,0.520069,1.68828,0.379284,1.96371,2
2.77,0.770492,0.524935,1.69102,0.369461,1.96558,2
2.78,0.772413,0.529831,1.69365,0.359628,1.9674,2
2.79,0.774265,0.534753,1.69622,0.349787,1.96917,2
2.8,0.776034,0.539697,1.69887,0.339936,1.9709,2
2.81,0.77771,0.544662,1.70164,0.330078,1.97257,2
2.82,0.779299,0.549641,1.70446,0.320211,1.9742,2
2.83,0.780819,0.554627,1.7071,0.310336,1.97578,2
2.84,0.782273,0.559616,1.70951,0.300453,1.9773,2
2.85,0.783623,0.564609,1.71206,0.290563,1.97878,2
2.86,0.78487,0.569608,1.71474,0.280665,1.98021,2
2.87,0.786035,0.57461,1.71728,0.270761,1.98159,2
2.88,0.787108,0.579615,1.71981,0.26085,1.98292,2
2.89,0.788098,0.584622,1.72223,0.250932,1.9842,2
2.9,0.789001,0.589628,1.72457,0.241008,1.98543,2
2.91,0.789804,0.594631,1.72697,0.231078,1.98661,2
2.92,0.790498,0.599632,1.7295,0.221142,1.98774,2
2.93,0.791092,0.604632,1.73205,0.2112,1.98882,2
2.94,0.791597,0.609632,1.73452,0.201254,1.98985,2
2.95,0.792004,0.614631,1.737,0.191302,1.99083,2
2.96,0.792328,0.619628,1.73935,0.181346,1.99176,2
2.97,0.792578,0.624622,1.74148,0.171385,1.99264,2
2.98,0.792734,0.62961,1.74362,0.161419,1.99348,2
2.99,0.792778,0.63459,1.74595,0.15145,1.99426,2
3,0.792722,0.639563,1.74834,0.141477,1.99499,2
3.01,0.792569,0.644531,1.75079,0.1315,1.99567,2
3.02,0.792322,0.649495,1.75325,0.12152,1.9963,2
3.03,0.791993,0.654454,1.75562,0.111537,1.99689,2
3.04,0.791566,0.659409,1.75812,0.101551,1.99742,2
3.05,0.791049,0.664361,1.7607,0.0915631,1.9979,2
3.06,0.790459,0.669307,1.7632,0.0815725,1.99834,2
3.07,0.78979,0.674249,1.76576,0.0715798,1.99872,2
3.08,0.789043,0.679188,1.76844,0.0615854,1.99905,2
3.09,0.788233,0.684129,1.77106,0.0515894,1.99933,2
3.1,0.787371,0.689076,1.77358,0.0415921,1.99957,2
3.11,0.786468,0.694032,1.77584,0.0315938,1.99975,2
3.12,0.785526,0.699001,1.77791,0.0215947,1.99988,2
3.13,0.784538,0.703996,1.7801,0.0115951,1.99997,2
3.14,0.783513,0.709019,1.78228,0.00159517,2,2
3.15,0.782463,0.714066,1.78432,-0.00840479,1.99998,2
3.16,0.781388,0.719144,1.78633,-0.0184045,1.99992,2
3.17,0.780291,0.724253,1.78831,-0.0284038,1.9998,2
3.18,0.77917,0.729392,1.79033,-0.0384024,1.99963,2
3.19,0.778021,0.734564,1.79247,-0.0484001,1.99941,2
3.2,0.776847,0.739762,1.79454,-0.0583965,1.99915,2
3.21,0.775652,0.744983,1.79645,-0.0683914,1.99883,2
3.22,0.774431,0.750232,1.79831,-0.0783847,1.99846,2
3.23,0.773185,0.75551,1.8002,-0.088376,1.99805,2
3.24,0.771915,0.760818,1.8021,-0.098365,1.99758,2
3.25,0.770624,0.766148,1.80385,-0.108352,1.99706,2
3.26,0.769314,0.771499,1.80541,-0.118336,1.9965,2
3.27,0.767978,0.77687,1.80693,-0.128317,1.99588,2
3.28,0.766613,0.782257,1.80848,-0.138294,1.99521,2
3.29,0.765216,0.787657,1.81004,-0.148269,1.9945,2
3.3,0.763784,0.793062,1.81159,-0.158239,1.99373,2
3.31,0.762316,0.79847,1.81315,-0.168206,1.99291,2
3.32,0.760809,0.803876,1.81471,-0.178168,1.99205,2
3.33,0.759263,0.809276,1.81626,-0.188126,1.99113,2
3.34,0.757675,0.814669,1.81781,-0.198079,1.99017,2
3.35,0.756048,0.820052,1.81928,-0.208028,1.98915,2
3.36,0.754376,0.825423,1.82076,-0.217971,1.98809,2
3.37,0.752656,0.830778,1.82229,-0.227908,1.98697,2
3.38,0.750888,0.836118,1.82386,-0.23784,1.98581,2
3.39,0.749072,0.841442,1.82542,-0.247766,1.98459,2
3.4,0.747208,0.846752,1.82698,-0.257686,1.98333,2
3.41,0.745295,0.852046,1.82854,-0.2676,1.98202,2
3.42,0.743334,0.857326,1.83011,-0.277506,1.98065,2
3.43,0.741325,0.86259,1.83163,-0.287406,1.97924,2
3.44,0.73927,0.867836,1.83313,-0.297299,1.97778,2
3.45,0.737167,0.873065,1.83462,-0.307184,1.97627,2
3.46,0.735016,0.878274,1.83612,-0.317061,1.97471,2
3.47,0.732819,0.883464,1.83759,-0.326931,1.9731,2
3.48,0.73058,0.888636,1.83901,-0.336792,1.97144,2
3.49,0.728296,0.893789,1.84037,-0.346645,1.96973,2
3.5,0.725965,0.898919,1.84177,-0.356489,1.96797,2
3.51,0.723584,0.904026,1.84323,-0.366325,1.96617,2
3.52,0.721158,0.909111,1.8447,-0.376151,1.96431,2
3.53,0.718687,0.914175,1.84616,-0.385968,1.9624,2
3.54,0.716174,0.919217,1.84759,-0.395775,1.96045,2
3.55,0.71362,0.924237,1.84899,-0.405572,1.95845,2
3.56,0.71103,0.929236,1.85033,-0.415359,1.95639,2
3.57,0.708402,0.934212,1.85161,-0.425136,1.95429,2
3.58,0.705734,0.939163,1.85289,-0.434902,1.95214,2
3.59,0.703027,0.94409,1.85419,-0.444657,1.94994,2
3.6,0.700283,0.948993,1.85546,-0.454401,1.9477,2
3.61,0.697498,0.953873,1.85675,-0.464134,1.9454,2
3.62,0.694674,0.958731,1.85806,-0.473855,1.94305,2
3.63,0.691813,0.963569,1.85933,-0.483564,1.94066,2
3.64,0.688914,0.968386,1.86058,-0.493262,1.93822,2
3.65,0.685976,0.97318,1.86184,-0.502947,1.93573,2
3.66,0.682998,0.977952,1.8631,-0.512619,1.93319,2
3.67,0.67998,0.982701,1.86441,-0.522278,1.9306,2
3.68,0.676921,0.987428,1.8658,-0.531925,1.92797,2
3.69,0.673821,0.992133,1.86726,-0.541558,1.92528,2
3.7,0.670684,0.99682,1.8687,-0.551178,1.92255,2
3.71,0.667513,1.00149,1.87006,-0.560783,1.91977,2
3.72,0.664308,1.00614,1.87141,-0.570375,1.91694,2
3.73,0.66107,1.01077,1.8727,-0.579953,1.91407,2
3.74,0.6578,1.01538,1.87394,-0.589516,1.91114,2
3.75,0.654498,1.01997,1.87515,-0.599064,1.90817,2
3.76,0.651164,1.02454,1.87631,-0.608597,1.90515,2
3.77,0.647794,1.02908,1.87753,-0.618115,1.90209,2
3.78,0.644389,1.0336,1.87878,-0.627618,1.89897,2
3.79,0.640949,1.0381,1.88002,-0.637105,1.89581,2
3.8,0.637474,1.04257,1.88127,-0.646576,1.8926,2
3.81,0.633965,1.04701,1.88248,-0.656031,1.88934,2
3.82,0.63042,1.05143,1.88369,-0.66547,1.88604,2
3.83,0.62684,1.05583,1.88487,-0.674891,1.88269,2
3.84,0.623229,1.06021,1.88597,-0.684296,1.87929,2
3.85,0.619585,1.06456,1.88707,-0.693684,1.87585,2
3.86,0.615908,1.06889,1.88815,-0.703055,1.87236,2
3.87,0.6122,1.07319,1.88921,-0.712408,1.86882,2
3.88,0.608463,1.07747,1.89019,-0.721743,1.86523,2
3.89,0.604696,1.08172,1.89118,-0.73106,1.8616,2
3.9,0.600898,1.08594,1.89218,-0.740359,1.85792,2
3.91,0.597071,1.09013,1.89315,-0.749639,1.8542,2
3.92,0.593215,1.0943,1.89412,-0.758901,1.85042,2
3.93,0.589328,1.09844,1.89506,-0.768143,1.84661,2
3.94,0.585411,1.10256,1.896,-0.777366,1.84274,2
3.95,0.581463,1.10665,1.89696,-0.78657,1.83883,2
3.96,0.577484,1.11071,1.89793,-0.795755,1.83488,2
3.97,0.573478,1.11476,1.89886,-0.804919,1.83088,2
3.98,0.569444,1.11878,1.89974,-0.814063,1.82683,2
3.99,0.565381,1.12277,1.90061,-0.823187,1.82273,2
4,0.561287,1.12674,1.90154,-0.832291,1.8186,2
4.01,0.557164,1.13068,1.90247,-0.841373,1.81441,2
4.02,0.55301,1.1346,1.90345,-0.850435,1.81018,2
4.03,0.548828,1.13849,1.90444,-0.859476,1.80591,2
4.04,0.544617,1.14235,1.90542,-0.868495,1.80159,2
4.05,0.540377,1.14618,1.90641,-0.877492,1.79722,2
4.06,0.536109,1.14999,1.9074,-0.886467,1.79281,2
4.07,0.531811,1.15376,1.90849,-0.89542,1.78836,2
4.08,0.527483,1.15751,1.90966,-0.904351,1.78386,2
4.09,0.523127,1.16124,1.91079,-0.913259,1.77931,2
4.1,0.518744,1.16494,1.9119,-0.922144,1.77473,2
4.11,0.514334,1.16861,1.91299,-0.931007,1.77009,2
4.12,0.509899,1.17227,1.91397,-0.939846,1.76541,2
4.13,0.50544,1.17591,1.91485,-0.948661,1.76069,2
4.14,0.500956,1.17953,1.9157,-0.957453,1.75593,2
4.15,0.496443,1.18312,1.9166,-0.966221,1.75112,2
4.16,0.491901,1.18669,1.91758,-0.974964,1.74627,2
4.17,0.487332,1.19024,1.91854,-0.983684,1.74137,2
4.18,0.482737,1.19376,1.91942,-0.992378,1.73643,2
4.19,0.478117,1.19726,1.9203,-1.00105,1.73145,2
4.2,0.473469,1.20073,1.92119,-1.00969,1.72642,2
4.21,0.468793,1.20418,1.92215,-1.01831,1.72135,2
4.22,0.46409,1.2076,1.92316,-1.02691,1.71623,2
4.23,0.459361,1.21099,1.9241,-1.03548,1.71108,2
4.24,0.454608,1.21435,1.92498,-1.04402,1.70588,2
4.25,0.449829,1.21769,1.92582,-1.05253,1.70064,2
4.26,0.445026,1.221,1.92661,-1.06102,1.69535,2
4.27,0.440201,1.22428,1.92731,-1.06949,1.69003,2
4.28,0.435354,1.22753,1.92796,-1.07793,1.68466,2
4.29,0.430488,1.23075,1.92853,-1.08634,1.67925,2
4.3,0.425604,1.23393,1.92905,-1.09472,1.6738,2
4.31,0.420701,1.23708,1.92958,-1.10307,1.6683,2
4.32,0.415779,1.2402,1.93012,-1.1114,1.66276,2
4.33,0.41084,1.24329,1.93067,-1.1197,1.65719,2
4.34,0.405885,1.24634,1.93125,-1.12797,1.65157,2
4.35,0.400914,1.24936,1.93181,-1.13622,1.64591,2
